type,model,src,nat,status
Tanks,T-64A,https://i.postimg.cc/kXYMFPXM/39.jpg,ukr,captured
Tanks,T-64BV,https://i.postimg.cc/mgntjg7P/763.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/59wN4Ybq/689.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/fWBW5NVQ/558.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/442p3Kn8/443.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/gjqt7JQh/445.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/xCXPxnKM/g3.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/jSkfDQJC/765.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/C1XTdKjW/n8.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/44zyTqfZ/o9.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/zfdggTnG/17.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/rFvVhTXT/l9.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/QCjpjn7n/4f6.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/XvZLPhKf/24.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/Vs7vQZSZ/316.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/8zC4rW64/321.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/LXjZKyB3/gy6.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/GpXfM7DH/12.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/zfsFJ69L/4318.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/MpP3ydft/35.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/kGMZ6sDS/5800.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/15YP8yQG/467.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/JzyJ1hVp/48.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/pdJks2vZ/478.png,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/dQpxYw9C/43.jpg,ukr,destroyed
Tanks,T-64BV,https://i.postimg.cc/T2L13XTz/47.png,ukr,destroyed
